name,abbrv,formula,state,ref1,ref2,date,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
ethanol,C2H6O,C2H6O,aq,test,test,test,J,-183879.99999999997,-290830.0,147.38394231091758,273.62091209927155,55.28,46.6668873248,32.359463664,43.63507273359673,-18.891539893344003,247.82661391096582,10.34602,-0.5177745608955808,0
1-propanol,C3H8O,C3H8O,aq,test,test,test,J,-174780.0,-314989.99999999994,172.2493556934437,358.5157524449003,70.89,59.755146070799995,41.729015694000005,62.270042408706374,-25.732305707724,331.3579331722554,10.92334,-0.5384359821255105,0
2-propanol,C3H8O,C3H8O,aq,test,test,test,J,-176590.0,-321650.0,155.98237598524298,366.3010897059411,71.07,59.823682782599995,42.050335143,62.496240337329176,-25.834040016677996,337.87775017737243,11.458209999999998,-0.5578232821816052,0
1-butanol,C4H10O,C4H10O,aq,test,test,test,J,-165679.99999999997,-339150.0,197.1147690759691,443.41059279052894,86.50,72.80396022,51.2006821,81.19804918446903,-32.649248846599995,414.8867208829882,11.500659999999998,-0.5593721885390188,0
2-butanol,C4H10O,C4H10O,aq,test,test,test,J,-167489.99999999997,-345810.00000000006,180.8477893677683,451.19593005156975,86.68,72.85399738320001,51.56989327600001,81.56114110909694,-32.78671038389601,421.4041471402826,12.03553,-0.5790189904555745,0
2-methyl-1-propanol,C4H10O,C4H10O,aq,test,test,test,J,-167689.99999999997,-343240.0,190.13841489183358,434.19593005156975,86.80,72.98711151199998,51.55778516,81.66139405744501,-32.82147772936,404.80690121279235,11.86573,-0.5727555730138469,0
2-methyl-2-propanol,C4H10O,C4H10O,aq,test,test,test,J,-162110.0,-351189.99999999994,144.75857253060633,459.09050576976006,86.72,72.87150455679999,51.635403423999996,81.63293793239657,-32.813680954304,429.0972605708173,12.120429999999999,-0.5821599527233334,0
1-pentanol,C5H12O,C5H12O,aq,test,test,test,J,-156579.99999999997,-363309.99999999994,221.98018245849505,528.3054331361576,102.11,85.8133297724,60.774462882,100.41907022094502,-39.642369309972004,498.41292620281047,12.077979999999998,-0.5805886985627096,0
2-pentanol,C5H12O,C5H12O,aq,test,test,test,J,-158390.0,-369970.0,205.71320275029416,536.0907703971984,102.29,85.84486738700001,61.19156578500001,100.9190344320364,-39.81555807561001,504.92791338812856,12.61285,-0.6005002476473509,0
3-pentanol,C5H12O,C5H12O,aq,test,test,test,J,-158390.0,-369970.0,205.71320275029416,536.0907703971984,102.29,85.84486738700001,61.19156578500001,100.9190344320364,-39.81555807561001,504.92791338812856,12.61285,-0.6005002476473509,0
2-methyl-1-butanol,C5H12O,C5H12O,aq,test,test,test,J,-158590.0,-367400.00000000006,215.0038282743593,519.0907703971984,102.41,85.98363057899999,61.164833345,100.97750722342656,-39.83941567537,488.3314466920866,12.443049999999998,-0.5941522491349489,0
2-methyl-2-butanol,C5H12O,C5H12O,aq,test,test,test,J,-153010.0,-375349.9999999999,169.62398591313206,543.9853461153888,102.33,85.859423685,61.264715175,101.01266281753678,-39.84822752055,512.62063546912,12.69775,-0.6036836886465053,0
3-methyl-1-butanol,C5H12O,C5H12O,aq,test,test,test,J,-158590.0,-367400.00000000006,215.0038282743593,519.0907703971984,102.41,85.98363057899999,61.164833345,100.97750722342656,-39.83941567537,488.3314466920866,12.443049999999998,-0.5941522491349489,0
3-methyl-2-butanol,C5H12O,C5H12O,aq,test,test,test,J,-160399.99999999997,-374060.0,198.73684856615876,526.8761076582392,102.59,86.01467322239999,61.58321763200001,101.48045851650113,-40.013560353472,494.84486599045994,12.97792,-0.6142339832869084,0
"2,2-dimethyl-propanol",C5H12O,C5H12O,aq,test,test,test,J,-152959.99999999997,-367009.99999999994,197.4287821566336,508.9853461153888,102.32,85.84152771199999,61.28333615999999,101.02254200759606,-39.851168775359994,477.5196868287075,12.7402,-0.6052777777777782,0
1-hexanol,C6H14O,C6H14O,aq,test,test,test,J,-147480.00000000003,-387469.99999999994,246.84559584102067,613.2002734817862,117.72,98.78325472799999,70.45035804,119.9330820624891,-46.71166709783999,581.9364969208455,12.655299999999999,-0.602091179385531,0
2-hexanol,C6H14O,C6H14O,aq,test,test,test,J,-149290.0,-394130.0,230.57861613282,620.985610742827,117.90,98.796292794,70.91535267,120.56989626144794,-46.920583091820006,588.4489953988326,13.190169999999998,-0.6222728632691736,0
3-hexanol,C6H14O,C6H14O,aq,test,test,test,J,-149290.0,-394130.0,230.57861613282,620.985610742827,117.90,98.796292794,70.91535267,120.56989626144794,-46.920583091820006,588.4489953988326,13.190169999999998,-0.6222728632691736,0
2-methyl-1-pentanol,C6H14O,C6H14O,aq,test,test,test,J,-149490.0,-391560.0,239.86924165688515,603.985610742827,118.02,98.94070504919999,70.873995906,120.58659603503355,-46.933530945876,571.8533238255716,13.02037,-0.6158385587737638,0
